step,regime,spot,time_to_expiry,fair_value,delta,gamma,vega,theta,bid,ask,half_spread,trade_size,trade_price,option_inventory,hedge_shares,cash,cumulative_transaction_cost,pnl
91,volatile,97.5932650029618,0.1046031746031746,3.8584094860312703,0.4557138872260562,0.03305576724062564,12.514554641425091,-23.949778625282974,3.1221612267691414,4.794657745293399,0.8362482592621289,0,,-4,182.28555489042247,-15802.835526488741,7.456181357313115,443.64314373168963
92,volatile,97.71205724801119,0.10444444444444444,3.908965088897581,0.4595573860113873,0.033074735551567785,12.533190344573308,-24.029599857803124,3.162807931473655,4.855122246321507,0.8461571574239257,0,,-4,183.8229544045549,-15953.088040320581,7.486225851180709,445.0449683968036
93,volatile,97.66658719395875,0.10428571428571427,3.8842914376063717,0.45796918083074256,0.03310158522857724,12.51264818426094,-24.022336419710733,3.142970315835523,4.825612559377221,0.8413211217708487,0,,-4,183.187672332297,-15891.054617584026,7.498635017561296,446.54358007405244
94,volatile,97.54451113278758,0.10412698412698412,3.8248271133142637,0.45384061541551995,0.03313003371343725,12.473100952293214,-23.97295147874242,3.0951609991046682,4.754493227523859,0.8296661142095956,1,3.0951609991046682,-3,136.152184624656,-11613.45467389128,8.436245748428112,519.9954809875471
95,volatile,98.03766674687985,0.10396825396825396,4.0488221471224435,0.4700966412314488,0.033117747954169885,12.575668397232706,-24.242944673413685,3.250253006286445,4.997391287958442,0.8735691408359988,0,,-3,141.02899236943466,-12091.661148532987,8.531867918922355,519.8455628931752
96,volatile,96.98576563482608,0.1038095238095238,3.568906583860091,0.4351309840697541,0.03315182215426803,12.301107012023417,-23.673389609513393,2.8644008934235137,4.423412274296669,0.7795056904365777,0,,-3,130.53929522092622,-11074.513309569289,8.735338180767464,515.2682077048066
97,volatile,96.92029523196712,0.10365079365079365,3.5367371602442503,0.43285780186029726,0.033167742911794695,12.271611668139736,-23.647301677411768,2.8385366768363776,4.3849376436521235,0.773200483407873,0,,-3,129.85734055808916,-11008.431281361756,8.74855723021886,516.3593554930685
98,volatile,96.93449793843034,0.10349206349206348,3.5391319811342683,0.43322605992404595,0.03319354577345548,12.265945202233725,-23.672583428688473,2.8404621128319523,4.387801849436585,0.7736698683023164,0,,-3,129.96781797721377,-11019.142496332764,8.750699044850137,517.4830931014731
99,volatile,96.2741722302151,0.10333333333333333,3.256604682498036,0.41122837069818163,0.033079829729980456,12.039456659227938,-23.227087459314788,2.6133101647284214,4.049899200267651,0.718294517769615,0,,-3,123.3685112094545,-10383.926768532756,8.877767604121994,516.2931226820783
100,volatile,96.42658900941089,0.10317460317460317,3.315961296201884,0.4161582183681619,0.03314427259127814,12.082547316293123,-23.354858281990314,2.661032882146315,4.120889710257454,0.7299284140555692,1,2.661032882146315,-2,83.23164367363238,-6780.562878991503,9.67181985012237,581.9883588632038
101,volatile,96.12529362734759,0.103015873015873,3.188405416565672,0.4060620725880992,0.03308026621033856,11.96553437168294,-23.144276896078843,2.5334779549188005,3.9433328782125434,0.7049274616468716,0,,-2,81.21241451761983,-6586.502703268,9.710639649226891,582.3834051109388
