final_pnl,max_drawdown,pnl_volatility,sharpe_like,trades,max_abs_inventory,transaction_costs,average_half_spread,regime,seed
2716.724405597868,42.64706654553447,25.595807330655926,4.554341597161213,22,7,84.73005824819039,1.3807426722824057,volatile,39
5712.268132705679,23.280074553993472,28.705199123685492,8.908359776020147,77,8,124.36788412591211,0.9546611037908965,volatile,40
4978.459944176212,10.261120045954158,20.291922438312387,10.983014343085108,119,7,86.8363019072874,0.5560730408568199,volatile,41
5258.754272298226,14.431763849066556,23.589409538005096,9.979655159014577,95,6,97.20292200741855,0.6966383996451389,volatile,42
4521.789915090051,31.627239599605673,22.802867490466795,8.877090441228201,85,10,104.89917721019054,0.6513233913343429,volatile,43
2160.6299759117296,17.309902839955612,27.11647840337567,3.5669484827597637,13,3,46.366419317393344,1.9761047720343645,volatile,44
6078.278471267637,11.322481984800106,28.418279683332056,9.574862282011729,83,5,96.56077694182716,0.8548899536381654,volatile,45
3678.6330587499197,13.89299247137933,22.05253358919248,7.4675425234335275,91,5,63.742927489662804,0.8944153127612022,volatile,46
3982.424937528716,22.45405467400451,24.48170025007879,7.282085098000702,53,4,69.34056972602448,0.8810580569760832,volatile,47
3809.7353529300935,20.507163952272094,24.230083661680762,7.038654072600099,72,5,73.96944297535617,1.2298199727110997,volatile,48
740.4962830167551,8.517896066484354,18.496517726606605,1.7921841703207713,4,1,8.789397194252565,3.0598439966429614,volatile,49
4153.876837200917,24.951165100297658,30.34749777723924,6.1274595705762325,38,8,99.13254726834782,1.296699929672614,volatile,50
5211.6001404122635,14.990146676980658,19.488783571419713,11.971155761845306,183,11,69.12370822821647,0.44310248085841025,adverse,1
4732.432823522692,34.26624020199233,22.54283828906857,9.397786824865472,122,10,93.0211477580875,0.6759726525679515,adverse,2
4169.348152213879,4.999920756546544,27.992990675524787,6.66758543382803,43,3,60.375540532492764,1.3668195289560194,adverse,3
3930.1782514038096,22.259161759877315,26.687443724100753,6.592573777193347,44,5,65.70046674524438,1.5342339889940968,adverse,4
6463.425521122168,12.425606328917638,21.010120415802962,13.771585236484942,174,11,120.67818971661119,0.43994145305975124,adverse,5
4437.779958722542,19.51704820588202,29.951706227327588,6.632754520743641,45,4,69.52721933681346,1.1630578475908286,adverse,6
6390.362734358468,6.48932893107667,18.24776641335259,15.67709264365576,256,10,55.58762619532135,0.30488035769492583,adverse,7
6478.779622653695,21.58041351418069,28.423150119929367,10.204006483955533,102,7,125.53986265073888,0.7620315677165298,adverse,8
4386.143491617817,26.865920108328282,28.459221330284194,6.729518093068784,46,5,88.26270572264053,1.0635703100857268,adverse,9
5761.501339361974,40.38585852322831,19.604436270679642,13.15621723041451,242,14,35.221449680085335,0.30209308113481154,adverse,10
3948.378177362506,36.23650642002758,29.736693834669865,5.943958774956172,35,7,89.4363930572547,1.3342268968875242,adverse,11
4938.059700752529,7.648394386204018,31.703363343569993,6.972695909661725,46,5,70.77776405029947,1.2052725976639929,adverse,12
4524.609850449383,5.881316876177152,32.48354676686675,6.235444550739608,41,6,70.39873040693206,1.4062541626575666,adverse,13
3137.9350711944,8.575356902147178,25.48153597380677,5.512747201774539,31,5,49.12648480331189,1.724560335194251,adverse,14
3470.1566637677925,7.550892121060315,29.181605687820447,5.323406423029918,28,2,49.7839639635426,1.5789633504280423,adverse,15
4504.624131004992,12.887767896361765,25.132110195727673,8.02378588304258,108,6,78.27831857924286,0.9098602608285039,adverse,16
6384.010223666901,14.645180422281555,20.590217410374628,13.879773169537916,202,10,103.13548309030642,0.417506786147967,adverse,17
6499.735316701146,14.052921962931578,25.193358193857794,11.549397725487868,126,5,118.98185006842422,0.7236747762337445,adverse,18
5074.672586575934,12.561292745704122,27.422523591649114,8.284195428937071,67,8,99.02522548566081,0.8741320279611157,adverse,19
6399.046472015264,22.229305865930655,20.24158994111991,14.152083058753353,248,12,52.62277700628183,0.3099481277236973,adverse,20
5337.797266904097,18.77664077682857,23.779316848506078,10.048758949614214,131,6,95.7757070019996,0.6396234874704115,adverse,21
4727.924769769514,18.66054452413664,35.1605499041962,6.01955831301855,36,7,83.40344689882009,1.4662367712016795,adverse,22
6932.754565336199,25.79877694690731,26.83741887975997,11.5641790675966,121,10,123.99722282418426,0.6514244197066275,adverse,23
5414.784257989051,3.6383220318903113,18.381725077175087,13.186957863007486,219,9,60.194317493654516,0.336721506747709,adverse,24
2719.841421191459,38.91258774906237,25.55292888900871,4.764887203661922,23,7,75.267369170022,1.3806934373192583,adverse,25
3546.623379882775,13.243670645307247,28.883808447869054,5.496805166050782,30,3,54.47420113906817,1.384418556276238,adverse,26
6508.016524737575,17.98952391283092,29.896643266170724,9.744867643272833,85,5,106.90275034273361,0.8591738085791986,adverse,27
4882.582907051119,22.396217786703346,22.89798119604703,9.545576427620354,99,6,95.48704015487965,0.7627500640798626,adverse,28
2959.669613476693,39.17801512066217,26.074228926614428,5.081377809003526,27,4,71.44158123109783,1.270386183107491,adverse,29
2710.4522442177686,27.148750808246405,27.613704387248983,4.394068426703898,20,5,62.263172222240065,1.4440589279002043,adverse,30
3351.417013594799,11.637670483443799,24.283387001549585,6.178299195984642,40,6,50.11555000307945,1.4943417603636309,adverse,31
3256.2358949369304,36.1171850120877,27.577596123186943,5.285781171129474,29,4,62.19690591271361,1.6750948424083154,adverse,32
5384.858772415275,10.366230508818262,33.51100471591012,7.193439509391374,49,4,87.79116444672987,1.2698611759149552,adverse,33
4822.368760566892,5.142815472718212,19.454176820821523,11.096787910068999,152,8,63.72821891032764,0.5222488138535782,adverse,34
2007.8591174898208,96.08882931761786,20.2145624453059,4.446503300176757,22,5,61.445090362028616,2.1272065494827146,adverse,35
5250.298578278602,13.809038957344455,26.567831763155745,8.846624965052905,87,9,96.57979564542899,0.8405179203099605,adverse,36
5973.758838092977,24.112663508009064,22.969209275026817,11.642637309762375,159,12,89.25115972981895,0.4885972699452373,adverse,37
4896.811484559528,8.694086437014448,21.791496681255307,10.059492074341435,120,8,88.88444234374117,0.7613670867723562,adverse,38
4741.682447281785,35.57074346454465,32.54159840157912,6.374393532942671,40,9,129.1284488461589,1.3210479005170637,adverse,39
6933.138663276486,16.704477616542135,30.764694367776833,10.088509526946801,96,8,142.74505182502185,0.9193484506744295,adverse,40
5969.551003322907,5.763215775279605,21.20698552845428,12.601215951606903,145,5,103.40245809559916,0.5408905254956723,adverse,41
6583.227790481424,14.531370340116155,25.73268147605557,11.45258610310591,120,9,113.57884969439074,0.6753988886271449,adverse,42
6521.886574952598,13.651042530185805,25.221453370206422,11.575849180602475,125,7,122.22597801913757,0.6327664927767105,adverse,43
3219.526234755636,10.136222574326894,32.05219502224686,4.49659650917547,20,4,50.13806559205916,1.874505044862789,adverse,44
6844.619275349271,8.237701483057208,29.243084717562407,10.477938396455045,97,6,112.41270021562177,0.8263283844469258,adverse,45
4643.390622787136,10.256377841242283,24.468308966086703,8.495344431468052,111,7,78.3946145588566,0.8620051937831278,adverse,46
5470.733681601725,17.88415411439928,28.16259878867417,8.696060902033699,72,10,110.35276110001526,0.8508317619056486,adverse,47
4618.725179405672,10.364021786518606,26.11601228461379,7.917079115207919,88,6,78.54407548790692,1.1738590475077997,adverse,48
860.3716117041628,11.367313518076116,18.584742103998366,2.0724270898212755,5,2,18.04656009389047,2.8648326456202513,adverse,49
5044.332036807316,7.43490031926558,32.21647869217667,7.009310893378569,50,3,66.78837437150618,1.24148554798578,adverse,50
